,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,trades_count,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
87,1686441600000,25841.22000000,25850.00000000,25768.16000000,25826.18000000,520.48728000,1686443399999,13433876.25629060,20769,262.09083000,6764299.17199380,0
88,1686443400000,25826.18000000,25839.30000000,25730.86000000,25750.28000000,485.77861000,1686445199999,12522480.69542690,19583,201.50479000,5194286.25184830,0
89,1686445200000,25750.27000000,25789.30000000,25718.97000000,25776.94000000,581.70815000,1686446999999,14982543.80040340,15926,206.64091000,5322255.75059100,0
90,1686447000000,25776.94000000,25864.32000000,25776.93000000,25824.99000000,453.75080000,1686448799999,11718396.22306140,14793,226.93450000,5859940.22438440,0
91,1686448800000,25824.99000000,25827.93000000,25747.28000000,25764.89000000,808.15702000,1686450599999,20842880.29191330,13769,332.59434000,8579702.85096720,0
92,1686450600000,25764.90000000,25798.65000000,25750.25000000,25766.72000000,358.22351000,1686452399999,9232582.98152170,11474,164.99866000,4252038.99648810,0
93,1686452400000,25766.71000000,25766.72000000,25728.97000000,25749.27000000,516.23589000,1686454199999,13290645.02533100,13691,262.53460000,6758638.73211160,0
94,1686454200000,25749.27000000,25770.00000000,25695.00000000,25727.51000000,493.76493000,1686455999999,12705934.34410330,16331,202.92296000,5221616.47777640,0
95,1686456000000,25727.51000000,25728.99000000,25634.70000000,25686.17000000,715.45633000,1686457799999,18378228.25016060,22141,295.83355000,7597914.05751800,0
96,1686457800000,25686.18000000,25759.99000000,25664.89000000,25727.74000000,503.40272000,1686459599999,12943833.93921490,18617,265.47954000,6825826.37111710,0
97,1686459600000,25727.74000000,25760.00000000,25727.74000000,25747.24000000,267.20126000,1686461399999,6879168.96654330,10833,142.97324000,3680636.99181070,0
98,1686461400000,25747.24000000,25834.59000000,25738.92000000,25819.10000000,646.11247000,1686463199999,16662859.10225320,16069,329.04911000,8485814.59192150,0
99,1686463200000,25819.10000000,25823.91000000,25772.09000000,25791.03000000,369.51313000,1686464999999,9534382.47848500,13559,177.79724000,4587678.81901960,0
100,1686465000000,25791.02000000,25791.27000000,25767.34000000,25786.49000000,225.57352000,1686466799999,5815572.00746310,11973,108.15354000,2788363.67051900,0
101,1686466800000,25786.49000000,25796.88000000,25768.43000000,25782.45000000,407.63480000,1686468599999,10510115.90694080,13141,276.00049000,7116187.17783620,0
102,1686468600000,25782.45000000,25785.89000000,25740.02000000,25741.33000000,534.08018000,1686470399999,13756461.63900270,14397,282.97715000,7288770.10229320,0
103,1686470400000,25741.32000000,25768.54000000,25734.07000000,25735.52000000,262.13326000,1686472199999,6749647.29324070,11139,109.02920000,2807298.91984140,0
104,1686472200000,25735.53000000,25741.49000000,25695.08000000,25740.20000000,381.73755000,1686473999999,9819856.42047290,16211,168.65422000,4338632.22865020,0
105,1686474000000,25740.21000000,25772.97000000,25724.56000000,25763.75000000,441.40787000,1686475799999,11361132.23884600,14326,227.50727000,5855913.30328840,0
106,1686475800000,25763.75000000,25764.54000000,25701.42000000,25706.26000000,356.53542000,1686477599999,9176858.30090700,12991,122.88512000,3162806.24280200,0
107,1686477600000,25706.25000000,25733.61000000,25695.00000000,25723.36000000,425.46126000,1686479399999,10941248.01046080,11824,209.59605000,5390034.08443870,0
108,1686479400000,25723.36000000,25795.27000000,25720.00000000,25774.08000000,745.04790000,1686481199999,19192602.35940940,16470,374.83808000,9654889.63582650,0
109,1686481200000,25774.08000000,25817.01000000,25757.13000000,25795.65000000,561.49209000,1686482999999,14476792.57745650,13447,319.58438000,8240442.72849040,0
110,1686483000000,25795.64000000,25842.44000000,25795.64000000,25796.06000000,602.87129000,1686484799999,15564663.56588340,15665,243.19113000,6278502.10332410,0
